tid	season	rooftype	game_played	plays	fumbles_lost
DAL	2010	OUTDOOR	4	232	6
DAL	2010	RETRACTABLE	11	743	22
DAL	2011	OUTDOOR	7	449	12
DAL	2011	RETRACTABLE	9	568	12
DAL	2012	INDOOR	1	54	0
DAL	2012	OUTDOOR	7	443	6
DAL	2012	RETRACTABLE	8	552	14
DAL	2013	INDOOR	2	99	1
DAL	2013	OUTDOOR	6	361	7
DAL	2013	RETRACTABLE	8	497	10
DAL	2014	INDOOR	1	52	1
DAL	2014	OUTDOOR	7	456	7
DAL	2014	RETRACTABLE	8	506	13
DEN	2002	OUTDOOR	16	1057	21
DEN	2003	INDOOR	2	140	4
DEN	2003	OUTDOOR	14	907	20
DEN	2004	INDOOR	1	60	0
DEN	2004	OUTDOOR	15	1010	23
DEN	2005	OUTDOOR	16	1030	19
DEN	2006	INDOOR	1	55	2
DEN	2006	OUTDOOR	14	848	24
DEN	2006	RETRACTABLE	1	70	3
DEN	2007	INDOOR	2	129	6
DEN	2007	OUTDOOR	13	783	24
DEN	2007	RETRACTABLE	1	64	0
DEN	2008	INDOOR	1	53	0
DEN	2008	OUTDOOR	15	966	18
DEN	2009	OUTDOOR	15	958	15
DEN	2009	RETRACTABLE	1	74	0
DEN	2010	OUTDOOR	15	945	26
DEN	2010	RETRACTABLE	1	73	3
DEN	2011	INDOOR	1	49	3
DEN	2011	OUTDOOR	15	968	27
DEN	2012	INDOOR	1	67	1
DEN	2012	OUTDOOR	15	1023	21
DEN	2013	INDOOR	1	73	4
DEN	2013	OUTDOOR	14	1010	21
DEN	2013	RETRACTABLE	1	73	2
DEN	2014	INDOOR	1	66	0
DEN	2014	OUTDOOR	15	1001	16
DET	2002	INDOOR	10	587	6
DET	2002	OUTDOOR	6	368	8
DET	2003	INDOOR	9	551	14
DET	2003	OUTDOOR	7	424	4
DET	2004	INDOOR	10	597	10
DET	2004	OUTDOOR	6	352	2
DET	2005	INDOOR	10	608	13
DET	2005	OUTDOOR	6	347	8
DET	2006	INDOOR	10	603	18
DET	2006	OUTDOOR	5	298	8
DET	2006	RETRACTABLE	1	62	0
DET	2007	INDOOR	9	540	21
DET	2007	OUTDOOR	6	368	9
DET	2007	RETRACTABLE	1	57	4
DET	2008	INDOOR	10	537	19
DET	2008	OUTDOOR	4	274	8
DET	2008	RETRACTABLE	2	102	4
DET	2009	INDOOR	10	661	15
DET	2009	OUTDOOR	6	376	10
DET	2010	INDOOR	9	595	7
DET	2010	OUTDOOR	6	399	11
DET	2010	RETRACTABLE	1	70	1
DET	2011	INDOOR	2	139	1
DET	2011	OUTDOOR	5	363	10
DET	2011	RETRACTABLE	9	556	9
DET	2012	INDOOR	1	61	2
DET	2012	OUTDOOR	6	438	9
DET	2012	RETRACTABLE	9	661	13
DET	2013	INDOOR	9	651	16
DET	2013	OUTDOOR	6	394	11
DET	2013	RETRACTABLE	1	57	1
DET	2014	INDOOR	9	579	10
DET	2014	OUTDOOR	6	413	9
DET	2014	RETRACTABLE	1	53	2
GB	2002	INDOOR	3	206	6
GB	2002	OUTDOOR	13	852	22
GB	2003	INDOOR	3	179	5
GB	2003	OUTDOOR	13	820	14
GB	2004	INDOOR	3	226	2
GB	2004	OUTDOOR	12	756	20
GB	2004	RETRACTABLE	1	71	0
GB	2005	INDOOR	3	195	8
GB	2005	OUTDOOR	13	856	23
GB	2006	INDOOR	2	131	3
GB	2006	OUTDOOR	14	954	22
GB	2007	INDOOR	3	177	7
GB	2007	OUTDOOR	13	808	18
GB	2008	INDOOR	3	191	8
GB	2008	OUTDOOR	13	821	17
GB	2009	INDOOR	3	191	4
GB	2009	OUTDOOR	12	787	16
GB	2009	RETRACTABLE	1	64	0
GB	2010	INDOOR	3	185	5
GB	2010	OUTDOOR	13	815	15
GB	2011	INDOOR	2	123	2
GB	2011	OUTDOOR	13	812	12
GB	2011	RETRACTABLE	1	53	1
GB	2012	INDOOR	2	127	1
GB	2012	OUTDOOR	12	795	13
GB	2012	RETRACTABLE	2	120	2
GB	2013	INDOOR	2	115	2
GB	2013	OUTDOOR	13	891	17
GB	2013	RETRACTABLE	1	68	0
GB	2014	INDOOR	3	176	3
GB	2014	OUTDOOR	13	825	16
HOU	2002	INDOOR	1	61	3
HOU	2002	OUTDOOR	7	399	19
HOU	2002	RETRACTABLE	8	487	12
HOU	2003	INDOOR	2	121	1
HOU	2003	OUTDOOR	6	313	7
HOU	2003	RETRACTABLE	8	462	10
HOU	2004	INDOOR	2	154	7
HOU	2004	OUTDOOR	6	375	7
HOU	2004	RETRACTABLE	8	472	8
HOU	2005	INDOOR	1	52	2
HOU	2005	OUTDOOR	7	417	14
HOU	2005	RETRACTABLE	8	485	14
HOU	2006	INDOOR	1	53	4
HOU	2006	OUTDOOR	7	445	12
HOU	2006	RETRACTABLE	8	457	12
HOU	2007	INDOOR	2	118	3
HOU	2007	OUTDOOR	6	384	9
HOU	2007	RETRACTABLE	8	466	14
HOU	2008	INDOOR	1	66	2
HOU	2008	OUTDOOR	6	393	15
HOU	2008	RETRACTABLE	9	560	11
HOU	2009	INDOOR	1	64	2
HOU	2009	OUTDOOR	5	342	7
